benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A3,300,1.0,1.01,0.05492822529029898,0.9361121932216595,0.10376767785814531,43748,2403,41345,164,943,100,3
A3,300,1.0,3.01,0.5987012987012987,0.4772256728778468,0.5311059907834101,770,461,309,505,943,100,3
A3,300,1.0,5.01,0.972972972972973,0.07643312101910828,0.14173228346456693,74,72,2,870,943,100,3
A3,300,1.0,7.01,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,300,1.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,1.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,1.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,1.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,4.0,1.01,1.0,0.02332979851537646,0.0455958549222798,22,22,0,921,943,100,3
A3,300,4.0,3.01,1.0,0.02332979851537646,0.0455958549222798,22,22,0,921,943,100,3
A3,300,4.0,5.01,1.0,0.019088016967126194,0.03746097814776275,18,18,0,925,943,100,3
A3,300,4.0,7.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,300,4.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,4.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,4.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,4.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,1.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,3.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,5.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,7.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,7.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,1.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,3.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,5.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,7.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,300,10.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,1.0,1.01,0.05471797094176949,0.9302055060100815,0.1033561673344535,43843,2399,41444,180,943,100,3
A3,325,1.0,3.01,0.5584905660377358,0.4572605561277034,0.5028312570781427,795,444,351,527,943,100,3
A3,325,1.0,5.01,0.7303370786516854,0.0689289501590668,0.125968992248062,89,65,24,878,943,100,3
A3,325,1.0,7.01,1.0,0.006362672322375398,0.012644889357218126,6,6,0,937,943,100,3
A3,325,1.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,1.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,1.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,1.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,4.0,1.01,1.0,0.019088016967126194,0.03746097814776275,18,18,0,925,943,100,3
A3,325,4.0,3.01,1.0,0.019088016967126194,0.03746097814776275,18,18,0,925,943,100,3
A3,325,4.0,5.01,1.0,0.014846235418875928,0.029258098223615466,14,14,0,929,943,100,3
A3,325,4.0,7.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,325,4.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,4.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,4.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,4.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,1.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,3.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,5.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,7.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,7.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,1.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,3.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,5.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,7.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,325,10.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,1.0,1.01,0.054317548746518104,0.9249611197511665,0.10260944576234636,43798,2379,41419,193,943,100,3
A3,350,1.0,3.01,0.6435045317220544,0.4382716049382716,0.5214198286413708,662,426,236,546,943,100,3
A3,350,1.0,5.01,0.8648648648648649,0.06779661016949153,0.12573673870333987,74,64,10,880,943,100,3
A3,350,1.0,7.01,1.0,0.006362672322375398,0.012644889357218126,6,6,0,937,943,100,3
A3,350,1.0,9.01,1.0,0.0010604453870625664,0.00211864406779661,1,1,0,942,943,100,3
A3,350,1.0,11.01,1.0,0.0010604453870625664,0.00211864406779661,1,1,0,942,943,100,3
A3,350,1.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,1.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,4.0,1.01,1.0,0.016967126193001062,0.03336809176225235,16,16,0,927,943,100,3
A3,350,4.0,3.01,1.0,0.016967126193001062,0.03336809176225235,16,16,0,927,943,100,3
A3,350,4.0,5.01,1.0,0.012725344644750796,0.025130890052356022,12,12,0,931,943,100,3
A3,350,4.0,7.01,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,350,4.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,4.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,4.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,4.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,1.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,3.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,5.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,7.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,9.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,11.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,13.01,0.0,0.0,0.0,0,0,0,943,943,100,3
A3,350,7.0,15.01,0.0,0.0,0.0,0,0,0,943,943,100,3
